eRenyi2,MaxVanillaIw,VarVanillaIw,AvgVanillaIw,VarRet,VarDiscRet,ESSClassic,MaxNormIw,VanillaAvgRet,AvgDiscRet,VarJ,Bound,AvgRet,AvgNormIw,MinVanillaIw,MinNormIw,BatchSize,ESSRenyi,AvgEpLen,VarNormIw,J
956770.1,169474.33,287215360.0,1694.7433,12414.200999294342,12414.200999294342,1.0,1.0,79.74702847706696,-1.0587086762825493e-14,1.5989748e-05,1609685.0,-1.0587086762825493e-14,0.01,,,100,0.00010451831363359093,8.98,0.010000003,949.86584
20375.639,37252.223,13877278.0,372.52222,1300422.626859161,1300422.626859161,1.0,1.0,976.1165109763976,-5.684341886080802e-15,,1497935.0,-5.684341886080802e-15,0.01,,,100,0.0049078216202387065,98.58,0.010000003,4023.6367
733426940.0,2126179300.0,4.5206395e+16,21261794.0,0.006469147419018865,0.006469147419018865,1.0,1.0,4999.9294877122,-2.1827872842550277e-13,,1484419.1,-2.1827872842550277e-13,0.01,,,100,1.3634623164321597e-07,500.0,0.010000002,0.06981628
inf,1439320000.0,2.0716418e+16,14393201.0,0.0030969096159282287,0.0030969096159282287,1.0,1.0,4999.928896240212,1.3642420526593923e-13,,71920.625,1.3642420526593923e-13,0.01,,,100,,500.0,0.010000003,0.0049968506
nan,263329330.0,693423540000000.0,2633293.2,0.00309600656848482,0.00309600656848482,1.0,1.0,4999.9378401787135,5.366018740460276e-13,,159513.5,5.366018740460276e-13,0.01,,,100,nan,500.0,0.010000003,0.060575683
nan,3.202904e+36,inf,1.054718e+35,0.0030411007768554412,0.0030411007768554412,,0.30367395,4999.940130579022,-2.091837814077735e-13,0.08559024,4.4990334e+33,-2.091837814077735e-13,0.01,,,100,nan,500.0,0.0018495463,0.042656265
nan,20.72488,4.765467,0.7251526,6771.546807589316,6771.546807589316,10.028232335913575,0.28580028,63.65411559651129,-7.105427357601002e-17,590.9097,53.700096,-7.105427357601002e-17,0.010000002,2.3700557e-05,3.2683545e-07,100,nan,7.37,0.00090624735,104.19145
nan,7.806483,1.420725,0.8789095,9009.532434876031,9009.532434876031,35.45121799243457,0.08882009,119.22045704215812,8.384404281969182e-15,209.63031,14.69002,8.384404281969182e-15,0.01,0.026638806,0.00030308927,100,nan,12.93,0.00018391694,31.968586
nan,6.140494,1.2040927,0.8907697,13363.982325479026,13363.982325479026,39.962813327922966,0.068934694,136.09721647934626,1.1368683772161604e-14,230.98082,20.12379,1.1368683772161604e-14,0.010000002,0.0013225244,1.4846984e-05,100,nan,14.62,0.0001517501,39.857224
nan,191.65251,371.12875,2.6954455,43839.1976327611,43839.1976327611,1.9390871130350296,0.7110235,233.650298381809,2.870592652470805e-14,733.64545,850.88385,2.870592652470805e-14,0.01,2.1043789e-19,7.8071653e-22,100,nan,24.38,0.0051081483,362.58984
nan,3.5226429,0.94328386,0.9571743,47322.141680552435,47322.141680552435,49.522487046411364,0.036802523,302.8268083533845,-2.6716406864579765e-14,325.6325,42.84594,-2.6716406864579765e-14,0.01,6.143808e-08,6.418693e-10,100,nan,31.3,0.00010295806,71.92429
