J,VarNormIw,AvgEpLen,VarJ,renyi2,Bound,EpsThisIter,AvgRet,ESSClassic,ESSRenyi,IterType,SamplesThisIter,AvgDiscRet,MaxVanillaIw,delta,VarVanillaIw,VarRet,VanillaAvgRet,MaxNormIw,MinVanillaIw,VarDiscRet,AvgVanillaIw,BatchSize,MinNormIw,AvgNormIw
79054.3,5.30311e-07,14.3184421535,6935.87,nan,412.378,3492,130.710089249,3.00000035267,nan,1,50000,130.710089249,2.36502e+23,0.8,inf,5317.28589559,130.710089249,0.333333,,5317.28589559,1.12878e+18,100,,1.59094e-06
71856.9,5.19853e-07,14.0488901377,16373.8,nan,396.032,3559,128.206790881,3.0000006002,nan,1,50000,128.206790881,7.85619e+14,0.8,2.8903e+24,4917.03569093,128.206790881,0.333181,,4917.03569093,3.6807e+09,100,,1.56099e-06
63906.4,5.58105e-07,15.0693188668,30707.4,nan,323.577,3318,137.697821106,2.99999994319,nan,1,50000,137.697821106,1.4094e+15,0.8,9.97795e+24,5678.4230549,137.697821106,0.333328,,5678.4230549,7.07969e+09,100,,1.67437e-06
71943.6,4.82999e-07,18.234865062,34003.2,nan,347.937,2742,167.215482816,2.95695710814,nan,1,50000,167.215482816,5.63661e+17,0.8,1.95996e+30,6465.99840709,167.215482816,0.279813,,6465.99840709,4.08142e+12,100,,2.0261e-06
79352.4,7.26524e-07,23.4301780694,35397.9,nan,385.756,2134,215.705205117,3.0000001857,nan,1,50000,215.705205117,1.9457e+10,0.8,2.98459e+15,7255.10537747,215.705205117,0.303569,,7255.10537747,166859.0,100,,2.60335e-06
74357.4,7.06393e-08,25.7466529351,28647.0,nan,402.067,1942,237.394664205,1.88569399502,nan,1,50000,237.394664205,299104.0,0.8,2.38541e+06,6173.40251287,237.394664205,0.0514711,,6173.40251287,16.624,100,,2.86074e-06
82216.1,5.48474e-07,27.6854928018,36508.8,nan,438.477,1806,255.482477885,5.60433141775,nan,1,50000,255.482477885,7.13696e+09,0.8,6.28264e+14,6274.37565079,255.482477885,0.210873,,6274.37565079,104112.0,100,,3.07617e-06
82018.2,1.03977e-06,28.0741156654,17831.0,nan,429.908,1781,259.163057269,3.00000014214,nan,1,50000,259.163057269,6.27076e+12,0.8,3.67979e+20,6656.80086718,259.163057269,0.333333,,6656.80086718,5.8682e+07,100,,3.11935e-06
82918.6,1.33295e-07,28.801843318,12287.6,nan,444.083,1736,265.888687501,1.68811931499,nan,1,50000,265.888687501,354525.0,0.8,2.07415e+06,6648.49301558,265.888687501,0.0898738,,6648.49301558,12.6238,100,,3.2002e-06
103760.0,1.72425e-06,31.0366232154,14801.7,nan,562.734,1611,286.795412503,1.99999993779,nan,1,50000,286.795412503,3.73844e+20,0.8,inf,8011.31954249,286.795412503,0.5,,8011.31954249,2.57841e+15,100,,3.44851e-06
