VarRet,Bound,AvgRet,AvgEpLen,AvgNormIw,MaxVanillaIw,MinNormIw,eRenyi2,AvgDiscRet,VarJ,VarVanillaIw,AvgVanillaIw,VarDiscRet,ESSClassic,VarNormIw,MaxNormIw,BatchSize,MinVanillaIw,ESSRenyi,VanillaAvgRet,J
62474.7593348315,1932.0203,118.37929668054483,12.842,0.0020000003,593.3824,,164.38254,118.37929668054483,13117.507,705.94916,1.3890585,62474.7593348315,1.3655870829092853,0.0014634987,0.8543663,500,,3.0416856106772374,118.37929668054483,4344.8594
1189075.356648693,3145.85,685.2538382158491,69.504,0.002,196.51942,,53.865707,685.2538382158491,5119.707,97.6683,0.98254687,1189075.356648693,4.903567336606233,0.0004046756,0.40002045,500,,9.28234351979509,685.2538382158491,4527.053
2560296.245641111,4590.1885,3979.98542516554,398.394,0.002,6.8893375,1.2057362e-11,3.165796,3979.98542516554,269.74594,1.8450639,0.92591375,2560296.245641111,158.83933190451742,8.6085565e-06,0.014881165,500,5.582039e-09,157.93815945416551,3979.98542516554,4925.0327
170864.56450652555,4779.4077,4928.170320185874,492.876,0.0019999999,1.6903064,3.0443744e-05,1.1569932,4928.170320185874,151.58487,0.15722564,0.98227435,170864.56450652555,430.06114715697595,6.518052e-07,0.0034416178,500,0.014952054,432.15467584463426,4928.170320185874,4981.834
76489.0890122417,4793.776,4978.292365333176,497.856,0.002,1.4562938,0.00042105393,1.0326402,4978.292365333176,208.83221,0.035403468,0.99091786,76489.0890122417,482.6332815090572,1.4422166e-07,0.0029392827,500,0.20861493,484.19574497362976,4978.292365333176,4985.0146
14525.754895796632,4803.2134,4987.661027376758,498.79,0.002,1.2196021,0.0006340851,1.0240567,4987.661027376758,62.574623,0.025596974,1.0069262,14525.754895796632,487.7118606381407,1.0098418e-07,0.0024224261,500,0.31923842,488.2542276794705,4987.661027376758,4993.656
98516.63769757983,4794.8247,4978.09049045058,497.826,0.002,1.344778,0.00025405773,1.0404205,4978.09049045058,203.3238,0.041536003,0.9904853,98516.63769757983,479.72985505601275,1.6935134e-07,0.002715392,500,0.12582022,480.5749065043631,4978.09049045058,4986.7827
1846.1610393085816,4810.089,4997.979830454795,499.81,0.002,1.0853438,0.0014286852,1.0026664,4997.979830454795,30.680334,0.0032907159,0.9979807,1846.1610393085816,498.3566861420503,1.3216185e-08,0.00217508,500,0.7129001,498.67036817967,4997.979830454795,4998.5317
88.19065786257124,4811.3105,4999.490799612715,499.96,0.002,1.0171835,0.0019003168,1.0001028,4999.490799612715,8.914938,8.9948015e-05,1.0002594,88.19065786257124,499.95515837372835,3.5960543e-10,0.0020338395,500,0.9504049,499.9486260753063,4999.490799612715,4999.512
35461.36163552211,4806.1284,4990.367994329985,499.052,0.002,1.1756009,0.000644072,1.0194731,4990.367994329985,64.61173,0.019578138,1.0035303,35461.36163552211,490.48368226612195,7.776256e-08,0.0023429308,500,0.32317287,490.4494408299384,4990.367994329985,4996.144
32976.823607283615,4806.9956,4991.7789795976605,499.19,0.002,1.1918099,0.00069656636,1.0189446,4991.7789795976605,65.839714,0.019659558,0.99800825,32976.823607283615,490.3409258438592,7.8952425e-08,0.002388377,500,0.3475895,490.70380239805036,4991.7789795976605,4996.962
0.009068290342098387,4811.714,4999.905391922297,500.0,0.0020000003,1.0,0.002,1.0,4999.905391922297,0.09513055,,1.0,0.009068290342098387,500.00000664260017,5.431875e-20,0.002,500,1.0,500.0,4999.905391922297,4999.9062
1590.8149431135803,4810.1724,4998.001912847643,499.814,0.002,1.0783162,0.0012999453,1.0030977,4998.001912847643,25.936556,0.0038846608,0.9980428,1590.8149431135803,498.06150717880905,1.5599644e-08,0.0021608616,500,0.64870054,498.45595621796565,4998.001912847643,4998.656
0.01262244962586092,4811.7065,4999.898280811397,500.0,0.0020000003,1.0,0.002,1.0,4999.898280811397,0.112239845,,1.0,0.01262244962586092,500.00000664260017,5.431875e-20,0.002,500,1.0,500.0,4999.898280811397,4999.899
739.6600481281891,4810.5654,4998.50941484133,499.864,0.0019999999,1.0485069,0.0013395097,1.002107,4998.50941484133,18.27853,0.0024037464,0.9996453,739.6600481281891,498.802622648025,9.621811e-09,0.0020977578,500,0.6695173,498.948703011783,4998.50941484133,4998.9556
1.8203272701599624,4811.6455,4999.837214578539,499.996,0.0020000003,1.0,0.002,1.0,4999.837214578539,1.3478549,,1.0,1.8203272701599624,500.00000664260017,5.431875e-20,0.002,500,1.0,500.0,4999.837214578539,4999.838
0.013075742282157563,4811.715,4999.906569600224,500.0,0.0020000003,1.0,0.002,1.0,4999.906569600224,0.11424271,,1.0,0.013075742282157563,500.00000664260017,5.431875e-20,0.002,500,1.0,500.0,4999.906569600224,4999.907
0.010612363804655295,4811.7085,4999.900507631239,500.0,0.0020000003,1.0,0.002,1.0,4999.900507631239,0.10291377,,1.0,0.010612363804655295,500.00000664260017,5.431875e-20,0.002,500,1.0,500.0,4999.900507631239,4999.901
49998.00445820007,4802.826,4989.899374119852,499.002,0.002,1.2986262,0.0013014287,1.0103817,4989.899374119852,176.6976,0.0105247665,0.99747765,49998.00445820007,494.77677873679875,4.2312244e-08,0.00260382,500,0.649073,494.86248680934284,4989.899374119852,4991.9927
819.2094856921009,4810.586,4998.628317518201,499.874,0.0019999999,1.0463084,0.0015851174,1.0012361,4998.628317518201,22.671288,0.001273306,0.9996425,819.2094856921009,499.3649971253585,5.096868e-09,0.0020933652,500,0.79227537,499.3827224434595,4998.628317518201,4998.8945
21798.20814780141,4807.037,4993.307978881139,499.342,0.002,1.1795965,0.0010383561,1.0133936,4993.307978881139,76.65073,0.012603782,1.0036323,21798.20814780141,493.8332436447414,5.0050872e-08,0.002350655,500,0.52106386,493.39168908177686,4993.307978881139,4996.4854
