script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, capacity
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,1,10,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,1,109,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,1,904,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,1,160,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,1,570,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.6,1.0,False,1,10,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.6,1.0,False,1,109,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.6,1.0,False,1,904,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.6,1.0,False,1,160,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.6,1.0,False,1,570,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.9,1.0,False,1,10,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.9,1.0,False,1,109,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.9,1.0,False,1,904,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.9,1.0,False,1,160,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.9,1.0,False,1,570,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.99,1.0,False,1,10,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.99,1.0,False,1,109,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.99,1.0,False,1,904,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.99,1.0,False,1,160,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.99,1.0,False,1,570,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.9999,1.0,False,1,10,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.9999,1.0,False,1,109,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.9999,1.0,False,1,904,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.9999,1.0,False,1,160,zeros,10
pomis/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.9999,1.0,False,1,570,zeros,10
