script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, capacity
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.1,1.0,False,1,10,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.1,1.0,False,1,109,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.1,1.0,False,1,904,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.1,1.0,False,1,160,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.1,1.0,False,1,570,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.3,1.0,False,1,10,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.3,1.0,False,1,109,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.3,1.0,False,1,904,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.3,1.0,False,1,160,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.3,1.0,False,1,570,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.5,1.0,False,1,10,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.5,1.0,False,1,109,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.5,1.0,False,1,904,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.5,1.0,False,1,160,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.5,1.0,False,1,570,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.7,1.0,False,1,10,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.7,1.0,False,1,109,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.7,1.0,False,1,904,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.7,1.0,False,1,160,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.7,1.0,False,1,570,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.9,1.0,False,1,10,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.9,1.0,False,1,109,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.9,1.0,False,1,904,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.9,1.0,False,1,160,zeros,10
pomis/run,rllab.acrobot,linear,is,max-d2-harmonic,0.9,1.0,False,1,570,zeros,10
