script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,662, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,963, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,100, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,746, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,236, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,247, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,689, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,153, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,947, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,307, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,42, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,950, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,315, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,545, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,178, zeros
