AvgVanillaIw,delta,J,VanillaAvgRet,VarVanillaIw,VarNormIw,AvgRet,SamplesThisIter,AvgNormIw,MaxVanillaIw,ESSRenyi,EpsThisIter,VarRet,MinNormIw,AvgDiscRet,VarJ,BatchSize,renyi2,MinVanillaIw,MaxNormIw,AvgEpLen,ESSClassic,IterType,VarDiscRet,Bound
1.0411936,0.3,11274.134,48.57271445817556,508.2445,1.9877557e-10,48.57271445817556,50000,6.511433e-07,16027.605,0.08047874637062172,8532,3615.0666183933386,6.4249206e-23,48.57271445817556,12792.803,100,7.1249323,1.0273599e-16,0.01002337,5.860290670417252,5.187038304147253,1,3615.0666183933386,75.97589
1.183378,0.3,15804.27,48.38135741102067,5636.7188,1.6954576e-09,48.38135741102067,50000,6.4901343e-07,33961.52,nan,8560,3333.9587247197173,3.2942668e-28,48.38135741102067,16399.87,100,nan,6.0065975e-22,0.018625904,5.841121495327103,8.111186367882905,1,3333.9587247197173,223.70633
0.9921746,0.3,11286.257,49.878394126861345,1.441288,6.487432e-13,49.878394126861345,50000,6.656552e-07,307.02484,nan,8346,3940.600161810923,2.4460237e-19,49.878394126861345,9102.405,100,nan,3.6458575e-13,0.00020598448,5.990893841361131,48.013248391235486,1,3940.600161810923,139.22992
1.0526196,0.3,13001.248,50.25328922958008,1856.8303,7.518929e-10,50.25328922958008,50000,6.6982807e-07,36632.875,nan,8294,3533.9510699485522,4.614921e-16,50.25328922958008,10521.626,100,nan,7.252241e-10,0.023311114,6.028454304316373,2.9677193122839802,1,3533.9510699485522,91.70474
1.0085703,0.3,13221.969,49.592464458647626,5.665111,2.4442247e-12,49.592464458647626,50000,6.6247986e-07,407.36298,nan,8386,3563.1176028771115,5.079522e-15,49.592464458647626,11020.196,100,nan,7.733149e-09,0.0002675765,5.962318149296446,32.24547683316285,1,3563.1176028771115,114.41982
1.0019192,0.3,10585.933,48.21788101994674,1.301486,5.430624e-13,48.21788101994674,50000,6.4719893e-07,202.8196,0.11408753335357812,8584,3151.9913391110085,2.5783894e-10,48.21788101994674,5214.1436,100,6.7759595,0.00039915665,0.00013101319,5.824790307548929,58.33740402611057,1,3151.9913391110085,70.34753
1.0008748,0.3,12717.196,49.394335386680446,21.992413,9.571134e-12,49.394335386680446,50000,6.602753e-07,1899.9656,nan,8414,3980.785129407341,8.7268315e-27,49.394335386680446,11876.478,100,nan,1.3228523e-20,0.0012534037,5.942476824340385,14.602030563231853,1,3980.785129407341,144.65616
1.0072464,0.3,12875.895,49.7634003680588,11.143692,4.848334e-12,49.7634003680588,50000,6.643813e-07,1715.723,nan,8362,3743.8415021988603,4.2976476e-14,49.7634003680588,9941.678,100,nan,6.515521e-08,0.0011316935,5.97943075819182,23.910770749704554,1,3743.8415021988603,118.26137
1.0015718,0.3,10378.131,50.25358415502015,0.5360487,2.397546e-13,50.25358415502015,50000,6.6982807e-07,212.76404,0.031568904413349794,8294,4029.8002857773554,4.0909254e-09,50.25358415502015,8538.295,100,8.060753,0.0061170235,0.00014229171,6.028454304316373,47.18420648850131,1,4029.8002857773554,52.84285
1.000297,0.3,11304.153,50.26609831772174,1.522336,6.829502e-13,50.26609831772174,50000,6.699899e-07,342.12967,7.851454408321757e-05,8292,3693.372524627505,6.011532e-14,50.26609831772174,8818.914,100,14.057397,8.975236e-08,0.00022915534,6.02990834539315,49.117382406728055,1,3693.372524627505,78.97118
